Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,School Type,long,lat
,Cleveland Municipal,043786,Albert B Hart,000026,"3901 E 74th St Cleveland, OH   44105-3808",K-8,-81.636359,41.452498
,Ada Exempted Village,045187,Ada Elementary School,000059,"435 Grand Ave Ada, OH   45810-1013",K-6,-83.82948259999999,40.7747376
,Ada Exempted Village,045187,Ada High School,000067,"435 Grand Ave Ada, OH   45810-1013",7-12,-83.82948259999999,40.7747376
,Sandusky City,044743,Adams Junior High School,000083,"318 Columbus Ave Sandusky, OH   44870-2616",7,-82.70980139999999,41.4541264
,Hamilton City,044107,Adams Elementary School,000091,"450 S F St Hamilton, OH   45013-3245",K-6,-84.57549,39.401909
,Meigs Local,048520,Meigs Intermediate School,000105,"36871 State Route 124 Middleport, OH   45760-9717",3-5,-82.11379099999999,39.032069
,Tri-Valley Local,048876,Adamsville Elementary School,000117,"7950 East St Adamsville, OH   43802-9024",K-6,-81.8815894,40.0662056
,Hamilton Local,046953,Hamilton Intermediate School,000118,"5132 Parsons Ave Lockbourne, OH   43137-9216",4-6,-82.9872157,39.8576111
,Oak Hill Union Local,047761,Oak Hill Middle/High School,000119,"5063 State Route 93 Oak Hill, OH   45656-9408",6-12,-82.57528909999999,38.9056145
,Oak Hill Union Local,047761,Oak Hill Elementary,000124,"401 Evans St Oak Hill, OH   45656-1131",K-5,-82.5644842,38.904449
,Polly Fox Academy Community School,000125,Polly Fox Academy Community School,000125,"2238 Jefferson Ave Toledo, OH   43624-1120",7-12,-83.5527367,41.6584552
,Phoenix Academy Community School,000130,Phoenix Academy Community School,000130,"2238 Jefferson Ave Toledo, OH   43624-1120",7-12,-83.5527367,41.6584552
,Northeastern Local,046250,South Vienna Middle School,000135,"140 W Main St South Vienna, OH   45369-9753",6-8,-83.6149709,39.9285005
,Northeastern Local,046250,Northridge Middle School,000137,"4445 Ridgewood Rd E Springfield, OH   45503-5933",6-8,-83.7720168,39.9870302
,Pathway School of Discovery,000138,Pathway School of Discovery,000138,"173 Avondale Dr Dayton, OH   45404-2123",K-8,-84.1564174,39.7955901
,Alliance Academy of Cincinnati,000139,Alliance Academy of Cincinnati,000139,"1712 Duck Creek Rd Cincinnati, OH   45207-1644",K-8,-84.470164,39.1421025
,Victory Academy of Toledo,000140,Victory Academy of Toledo,000140,"3319 Nebraska Ave Toledo, OH   43607-2819",K-8,-83.6221231,41.6444874
,Gallia County Local,065680,Addaville Elementary School,000141,"1333 Brick School Rd Gallipolis, OH   45631-8782",K-5,-82.1721705,38.9054929
,George A. Phillips Academy,000143,George A. Phillips Academy,000143,"3648 Victory Ave Toledo, OH   43607-2564",K-12,-83.629128,41.648305
,Newark City,044453,Newark Digital Academy,000162,"255 Woods Ave Newark, OH   43055-4436",K-12,-82.41665669999999,40.0641369
,Fairland Local,047936,Fairland West Elementary School,000177,"110 Township Road 1125 Proctorville, OH   45669-8519",3-5,-82.3581578,38.4460033
,Centerburg Local,047829,Centerburg Middle School,000187,"3782 Columbus Road Centerburg, OH   43011",6-8,-82.705479,40.294354
,Buckeye Local,047787,Buckeye West Elementary School,000190,"243 N Mill St Adena, OH   43901-7992","K-5,P",-80.87111689999999,40.2213147
,Hope Academy East Campus,000195,Hope Academy East Campus,000195,"15720 Kipling Ave Cleveland, OH   44110-3105",K-8,-81.5682546,41.55463779999999
,Hamilton Local,046953,Hamilton Local Digital Academy,000197,"775 Rathmell Rd Columbus, OH   43207-4737",K-12,-82.98398089999999,39.8601562
,Adena Local,049494,Adena High School,000208,"3367 County Road 550 Frankfort, OH   45628-9503",9-12,-83.1932633,39.4157153
,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,000222,"1546 Dartford Rd Maumee, OH   43537-1374",K-8,-83.6871031,41.6117441
,Cleveland Municipal,043786,Adlai Stevenson School,000224,"3938 Jo Ann Dr Cleveland, OH   44122-6441",K-8,-81.5511642,41.4545213
,Union-Scioto Local,049536,Unioto Elementary,000231,"138 Sandusky Blvd Chillicothe, OH   45601-9432",K-6,-83.0170868,39.3694595
,South Euclid-Lyndhurst City,044792,Adrian Elementary School,000232,"1071 Homestead Rd South Euclid, OH   44121-3580",K-3,-81.5261242,41.5310266
,Toledo City,044909,Lincoln Academy for Boys,000233,"514 Palmwood Ave Toledo, OH   43604-8052",K-6,-83.5557781,41.6540744
,Toledo City,044909,Ella P. Stewart Academy for Girls,000234,"707 Avondale Ave Toledo, OH   43604-8305",K-6,-83.5611376,41.6489498
,"Ohio Connections Academy, Inc",000236,"Ohio Connections Academy, Inc",000236,"2727 Madison Rd Cincinnati, OH   45209-2276",K-12,-84.4416815,39.1451672
,New Philadelphia City,044487,Quaker Digital Academy,000241,"400 Mill Ave SE  Suite 901 New Philadelphia, OH   44663-2150",K-12,-81.44065959999999,40.4806172
,North Union Local,050336,North Union Elementary School,000242,"420 Grove St Richwood, OH   43344-9022","K-5,P",-83.3028964,40.4362957
,Cleveland Municipal,043786,Early Childhood Development,000251,"9711 Lamont Ave Cleveland, OH   44106-4124","K-3,P",-81.6193641,41.5090449
,Alexander Local,045906,Alexander Elementary School,000257,"6105 School Road Albany, OH   45710-9236","K-5,P",-82.2066378,39.2257046
,North Royalton City,044545,Albion Elementary School,000265,"9360 Albion Rd North Royalton, OH   44133-1768",1-4,-81.755898,41.3372609
,Tiffin City,044891,Tiffin City Digital Academy,000268,"244 S Monroe St Tiffin, OH   44883-2906",K-12,-83.1778377,41.1096958
,Norwalk City,044560,Main Street School,000270,"80 E Main St Norwalk, OH   44857-1714",5-6,-82.6119584,41.2433583
,Scholarts Preparatory and Career Center for Children,000277,Scholarts Preparatory and Career Center for Children,000277,"PO Box 360895 Columbus, OH   43236-0895",K-12,-83.0000306,39.9601945
,Warren County Virtual Community School,000282,Warren County Virtual Community School,000282,"320 E Silver St Lebanon, OH   45036-1816",9-12,-84.2025373,39.4353464
,Auglaize County Special Needs School,000287,Auglaize County Special Needs School,000287,"1130A East Albert St Lima, OH   45804-1614",K-12,-84.08809169999999,40.7291362
,Auglaize County Educational Academy,000288,Auglaize County Educational Academy,000288,"1130A East Albert St Lima, OH   45804-1614",K-12,-84.08809169999999,40.7291362
,Brown Local,046177,Malvern Middle School,000291,"401 W Main St Malvern, OH   44644-9482",6-8,-81.1855152,40.6930638
,Summit Academy Columbus,000296,Summit Academy Columbus,000296,"1855 E Dublin Granville Rd Columbus, OH   43229-3516","K,1-8,UNG",-82.9690433,40.08633409999999
,Summit Academy Dayton,000297,Summit Academy Dayton,000297,"1407 E 3rd St Dayton, OH   45403-1818","K,1-12,UNG",-84.1727252,39.76286169999999
,Summit Academy Secondary - Akron,000298,Summit Academy Secondary - Akron,000298,"864 E Market St Akron, OH   44305-2424","8-12,UNG",-81.49195519999999,41.0727181
,Cleveland Municipal,043786,Alexander Graham Bell,000299,"11815 Larchmere Blvd Cleveland, OH   44120-1132","P,K-8",-81.6004275,41.4885762
,Summit Academy Secondary - Canton,000300,Summit Academy Secondary - Canton,000300,"2400 Cleveland Ave NW Canton, OH   44709-3613","8-12,UNG",-81.3831178,40.8238274
,Summit Academy Secondary - Lorain,000301,Summit Academy Secondary - Lorain,000301,"760 Tower Blvd Lorain, OH   44052-5223","8-12,UNG",-82.1766318,41.438197
,Summit Academy Secondary School-Parma,000302,Summit Academy Secondary School-Parma,000302,"5868 Stumph Rd Parma, OH   44130-1736","K,1-12,UNG",-81.7695131,41.4034588
,Summit Academy Secondary - Youngstown,000303,Summit Academy Secondary - Youngstown,000303,"1400 Oak Hill Ave Youngstown, OH   44507-1018","8-12,UNG",-80.66017630000002,41.0866313
,Summit Academy Community School-Toledo,000304,Summit Academy Community School-Toledo,000304,"3891 Martha St Toledo, OH   43612-1250","K,1-9,UNG",-83.56601239999999,41.690185
,Summit Academy Community School-Warren,000305,Summit Academy Community School-Warren,000305,"2106 Arbor Ave SE Warren, OH   44484-5225","K,1-5,UNG",-80.78664239999999,41.2200298
,Summit Academy Cincinnati,000306,Summit Academy Cincinnati,000306,"745 Derby Ave Cincinnati, OH   45232-1836","1-8,UNG",-84.51825939999999,39.1709223
,Seneca East Local,049684,Bridges Community Academy,000311,"190 St Francis Ave Tiffin, OH   44883-3475",K-12,-83.168176,41.097913
,Alexander Local,045906,Alexander High School,000315,"6125 School Rd Albany, OH   45710-8904",9-12,-82.2032237,39.2251175
,Constellation Schools: Westpark Community Middle School,000316,Constellation Schools: Westpark Community Middle School,000316,"5983 W 54th St Parma, OH   44129-3854",5-9,-81.72186020000001,41.4001436
,Constellation Schools:  Madison Community Elementary,000319,Constellation Schools:  Madison Community Elementary,000319,"2015 W 95th St Cleveland, OH   44102-3727",K-8,-81.7481952,41.476781
,Constellation Schools: Lorain Community Middle School,000320,Constellation Schools: Lorain Community Middle School,000320,"5983 W 54th St Parma, OH   44129-3854",5-9,-81.72186020000001,41.4001436
,Constellation Schools: Old Brooklyn Middle School,000321,Constellation Schools: Old Brooklyn Middle School,000321,"5983 W 54th St Parma, OH   44129-3854",5-9,-81.72186020000001,41.4001436
,Horizon Science Academy Toledo,000338,Horizon Science Academy Toledo,000338,"425 Jefferson Ave Toledo, OH   43604-1060",K-12,-83.5367062,41.650289
,Youngstown City Schools,045161,NovaNet High School,000342,"20 W Wood St Youngstown, OH   44503-1028",5-12,-80.64849439999999,41.1023247
,Chase Academy for Communication Arts,000343,Chase Academy for Communication Arts,000343,"1565 Integrity Dr E Columbus, OH   43209-2707",K-12,-82.93898,39.93610940000001
,Elmwood Local,050682,Elmwood Elementary School,000345,"7650 Jerry City Rd Bloomdale, OH   44817-9763","K-4,P",-83.5521124,41.2550335
,Lorain City,044263,Palm Elementary School,000348,"3330 Palm Ave Lorain, OH   44055-2152",K-6,-82.11669979999999,41.4403925
,Upper Scioto Valley Local,047522,Upper Scioto Valley Middle School,000349,"701 N Main St McGuffey, OH   45859",6-8,-83.7826597,40.6924362
,Highland Local,048496,Granger Elementary School,000350,"3940 Ridge Rd Medina, OH   44256-8618","K-5,P",-81.7425079,41.16842380000001
,Marion City,044339,Ulysses S. Grant Middle School,000351,"420 Presidential Dr Marion, OH   43302-5173",6-8,-83.1207503,40.58175
,Marion City,044339,William McKinley Elementary School,000352,"925 Chatfield Rd Marion, OH   43302-7110","K-5,P",-83.1520855,40.5719156
,Genoa Area Local,048942,Allen Elementary School,000356,"4865 N Genoa Clay Center Rd Curtice, OH   43412-9617",3-5,-83.35765049999999,41.5869509
,Miamisburg City,044396,Miamisburg Secondary Digital Academy,000360,"540 Park Ave Miamisburg, OH   45342-2854",9-12,-84.28211,39.6400029
,Akron City,043489,Bridges Learning Center,000362,"33 Dorcas Ave Akron, OH   44305-4201",K-8,-81.4717529,41.063754
,Akron City,043489,Akron Alternative Academy,000363,"235 Smith St Akron, OH   44303-2336",9-12,-81.524337,41.08977
,Allen East Local,045757,Allen East High School,000364,"9105 Harding Hwy Harrod, OH   45850-9485",9-12,-83.92990879999999,40.7345551
,Strongsville City,044842,Allen Elementary School,000380,"16400 Park Lane Dr Strongsville, OH   44136-6352",K-6,-81.8167926,41.2992414
,Crestwood Local,049189,Crestwood Intermediate School,000383,"11260 Bowen Rd Mantua, OH   44255-9454",3-5,-81.23443549999999,41.2999066
,Logan-Hocking Local,044248,Chieftain Elementary School,000384,"28296 Chieftain Dr Logan, OH   43138-9557","K-5,P",-82.4941544,39.5619536
,Logan-Hocking Local,044248,Hocking Hills Elementary School,000385,"19197 State Route 664 S Logan, OH   43138-9536","K-5,P",-82.5168427,39.4504849
,Logan-Hocking Local,044248,Central Intermediate Elementary School,000386,"680 W Hunter St Logan, OH   43138-1109","P,4-5",-82.4182445,39.5421342
,Logan-Hocking Local,044248,Central Primary Elementary School,000387,"501 E Main St Logan, OH   43138-1416",K-3,-82.400756,39.538974
,Conneaut Area City,043810,Gateway Elementary School,000388,"229 Gateway Av Conneaut, OH   44030",3-5,-80.557378,41.92421400000001
,Mansfield Enhancement Academy,000392,Mansfield Enhancement Academy,000392,"445 Bowman St Mansfield, OH   44903-1201",9-12,-82.5235598,40.7702859
,Mansfield City,044297,Mansfield Elective Academy,000396,"445 Bowman St Mansfield, OH   44903-1201",K-8,-82.5235598,40.7702859
,Chillicothe City,043745,Allen Elementary School,000398,"174 Plyleys Ln Chillicothe, OH   45601-2006",K-5,-83.0136873,39.3296977
,Mapleton Local,045831,Mapleton Elementary School,000400,"2 Mountie Dr Ashland, OH   44805",K-5,-82.3182178,40.8686675
,Findlay Digital Academy,000402,Findlay Digital Academy,000402,"1219 W Main Cross St Ste 206 Findlay, OH   45840-0707",9-12,-83.6691676,41.0399658
,Canton City,043711,Allen Elementary School,000406,"1326 Sherrick Rd SE Canton, OH   44707-3531",K-6,-81.36426,40.7844379
,Buckeye On-Line School for Success,000417,Buckeye On-Line School for Success,000417,"119 E Fifth St East Liverpool, OH   43920-3030","K,1-12,PS",-80.57877859999999,40.6191746
,Columbus Bilingual Academy,000420,Columbus Bilingual Academy,000420,"35 Midland Ave Columbus, OH   43223-1064",K-12,-83.0582218,39.9548303
,Lancaster Fairfield Community School,000426,Lancaster Fairfield Community School,000426,"320 E Locust St Lancaster, OH   43130-4437",7-12,-82.59781249999999,39.70964499999999
,Arise Academy,000427,Arise Academy,000427,"1 Elizabeth Pl Dayton, OH   45408-1445",K-12,-84.199452,39.747688
,Jackson City,044156,Jackson Westview Elementary School,000429,"16349 Beaver Pike Jackson, OH   45640-9005","P,K,1-5,SN",-82.6558553,39.0571442
,Columbus City,043802,Eastgate Elementary School,000435,"1925 Stratford Way Columbus, OH   43219-2946",K-5,-82.9515856,39.9755392
,Columbus City,043802,Literature Based Alternative @ Hubbard Elementary School,000436,"104 W Hubbard Ave Columbus, OH   43215-6415","K-5,P",-83.0072236,39.9787782
,General Chappie James Leadership Academy,000445,General Chappie James Leadership Academy,000445,"120 Knox Ave Dayton, OH   45427-1723",9-12,-84.3025888,39.7437526
,Allen East Local,045757,Allen East Middle School,000448,"9105 Harding Hwy Harrod, OH   45850-9485",4-8,-83.92990879999999,40.7345551
,Manchester Local,000442,Manchester High School,000450,"130 Wayne Frye Dr Manchester, OH   45144-9314","7-12,PS",-83.58939409999999,38.6946105
,Manchester Local,000442,Manchester Elementary School,000451,"130 Wayne Frye Dr Manchester, OH   45144-9314","K-6,P",-83.58939409999999,38.6946105
,Vinton County Local,050393,West Elementary,000455,"57710 US Highway 50 Mc Arthur, OH   45651-8859","K-5,P",-82.6094114,39.2724619
,Alliance City,043497,Alliance High School,000463,"400 Glamorgan St Alliance, OH   44601-2810",9-12,-81.1115052,40.9111438
,Hamilton City,044107,Hamilton Education Center,000467,"931 Westview Ave Hamilton, OH   45013-2445",7-12,-84.59417260000001,39.4079956
,Lima City,044222,Independence Elementary School,000470,"615 Tremont Ave Lima, OH   45801",K-4,-84.1148829,40.753582
,Norwood City,044578,Allison Street,000471,"4300 Allison St Norwood, OH   45212-3004",K-6,-84.460746,39.16146
,Lima City,044222,Liberty Elementary School,000472,"338 W Kibby St Lima, OH   45804-1168",K-4,-84.1093028,40.731367
,Tech Con Institute,000473,Tech Con Institute,000473,"2075 Shiloh Springs Rd Ste 100 Dayton, OH   45426-2062",9-12,-84.2746621,39.820057
,Euclid City,043950,Memorial Park Elementary School,000474,"22800 Fox Ave Euclid, OH   44123-2068",K-5,-81.5226556,41.6030801
,Euclid City,043950,Indian Hills Elementary School,000475,"1941 Sagamore Dr Euclid, OH   44117-2314",K-5,-81.5390966,41.55708389999999
,P.A.C.E. High School,000481,P.A.C.E. High School,000481,"1601 California Ave Cincinnati, OH   45237-5603",9-12,-84.4706355,39.1759062
,Cleveland Municipal,043786,Almira,000489,"3575 W 130th St Cleveland, OH   44111-3421",K-8,-81.7789805,41.4568896
,Lebanon City,044214,Bowman Primary School,000491,"825 Hart Rd. Lebanon, OH   45036",1-2,-84.226682,39.448254
,Lebanon City,044214,Lebanon Junior High,000493,"160 Miller Rd Lebanon, OH   45036-1234",7-8,-84.20541949999999,39.4582475
,Columbus City,043802,Alpine Elementary School,000497,"1590 Alpine Dr Columbus, OH   43229-2120",K-5,-82.97391879999999,40.0944346
,Ripley-Union-Lewis-Huntington Local,046078,Ripley Union Lewis Huntington Middle School,000501,"2300 Rains-Eitel Rd. Aberdeen, OH   45101-9502",5-8,-83.7710242,38.6817658
,South-Western City,044800,Alton Hall Elementary School,000505,"1000 Alton Rd Galloway, OH   43119-8867",K-4,-83.17725449999999,39.9294944
,Whitehall Preparatory and Fitness Academy,000509,Whitehall Preparatory and Fitness Academy,000509,"3474 E Livingston Ave Columbus, OH   43227-2279",K-8,-82.9031292,39.9467364
,Springfield Preparatory and Fitness Academy,000510,Springfield Preparatory and Fitness Academy,000510,"1615 Selma Rd Springfield, OH   45505-4245",K-8,-83.7950013,39.9046824
,Northland Preparatory and Fitness Academy,000511,Northland Preparatory and Fitness Academy,000511,"1875 Morse Rd Columbus, OH   43229-6603",K-8,-82.96825989999999,40.0594594
,Columbus City,043802,Alum Crest High School,000513,"2200 Winslow Dr Columbus, OH   43207-2270",9-12,-82.93730599999999,39.9262725
,Bright Local,047613,Whiteoak Junior High School,000519,"44 N High St Mowrystown, OH   45155",7-8,-83.7472585,39.0417537
,Youngstown City Schools,045161,Youngstown Early College,000520,"Fedor Hall Youngstown, OH   44555-0001",9-12,-80.6476395,41.1084694
,Education Alternatives Community School,000523,Education Alternatives Community School,000523,"21100 Southgate Park Blvd Maple Heights, OH   44137-3004",K-12,-81.5314434,41.4137528
,Project Rebuild Community School,000525,Project Rebuild Community School,000525,"PO Box 8361 Canton, OH   44711-8361",9-12,-81.3798095,40.8266697
,Cleveland Academy for Scholarship Technology and Leadership,000527,Cleveland Academy for Scholarship Technology and Leadership,000527,"1729 Superior Ave E Cleveland, OH   44114-2934","9-12,UNG",-81.6813304,41.5064122
,Constellation Schools: Puritas Community Middle School,000534,Constellation Schools: Puritas Community Middle School,000534,"5983 W 54th St Parma, OH   44129-3854",5-9,-81.72186020000001,41.4001436
,Amanda-Clearcreek Local,046847,Amanda-Clearcreek Elementary School,000539,"328 E Main St Amanda, OH   43102-9330",3-5,-82.7348828,39.6496392
,Constellation Schools: Outreach Academy for Students with Di,000541,Constellation Schools: Outreach Academy for Students with Di,000541,"5983 W 54th St Parma, OH   44129-3854",K-12,-81.72186020000001,41.4001436
,Pinnacle Academy,000543,Pinnacle Academy,000543,"860 E 222nd St Euclid, OH   44123-3317",K-8,-81.5271457,41.5907817
,Winterfield Venture Academy,000546,Winterfield Venture Academy,000546,"305 Wenz Rd Toledo, OH   43615-6244",K-8,-83.6437461,41.6343553
,Middletown City,044404,Amanda Elementary School,000547,"1300 Oxford State Rd Middletown, OH   45044-7580","K-5,P",-84.40800709999999,39.4789511
,"Columbus Humanities, Arts and Technology Academy",000553,"Columbus Humanities, Arts and Technology Academy",000553,"1333 Morse Rd Columbus, OH   43229-6322",K-12,-82.9832519,40.05969169999999
,A+ Arts Academy,000556,A+ Arts Academy,000556,"270 S Napoleon Ave Columbus, OH   43213-4235",6-8,-82.9051892,39.9669434
,Columbus Arts & Technology Academy,000557,Columbus Arts & Technology Academy,000557,"2255 Kimberly Pkwy E Columbus, OH   43232-7210",K-12,-82.88477209999999,39.927601
,Columbus Preparatory Academy,000558,Columbus Preparatory Academy,000558,"3330 Chippewa St Columbus, OH   43204-1653",K-12,-83.09422099999999,39.985356
,Orion Academy,000559,Orion Academy,000559,"1798 Queen City Ave Cincinnati, OH   45214-1427",K-8,-84.5580178,39.1264598
,Apex Academy,000560,Apex Academy,000560,"16005 Terrace Rd Cleveland, OH   44112-2001",K-8,-81.5662838,41.5416253
,Amanda-Clearcreek Local,046847,Amanda-Clearcreek High School,000562,"328 E Main St Amanda, OH   43102-9330",9-12,-82.7348828,39.6496392
,"Virtual Schoolhouse, Inc.",000564,"Virtual Schoolhouse, Inc.",000564,"736 Lakeview Rd Cleveland, OH   44108-2608",K-12,-81.6085837,41.537415
,"Arts Academy, The",000574,"Arts Academy, The",000574,"4125 Leavitt Rd Lorain, OH   44053-2341",K-12,-82.20177970000002,41.4318224
,Hope Academy Northwest Campus,000575,Hope Academy Northwest Campus,000575,"1441 W 116th St Cleveland, OH   44102-2301",K-12,-81.76717649999999,41.4823351
,King Academy Community School,000576,King Academy Community School,000576,"933 Bank St Cincinnati, OH   45214-2103",K-8,-84.5302147,39.1191194
,Emerson Academy,000577,Emerson Academy,000577,"501 Hickory St Dayton, OH   45410-1232",K-8,-84.1809043,39.7517066
,FCI Academy,000585,FCI Academy,000585,"2177 Mock Rd Columbus, OH   43219-1258",K-12,-82.9504078,40.0110441
,Upper Arlington City,044933,Wickliffe Progressive Community School,000590,"1950 N Mallway Dr Upper Arlington, OH   43221-4326",K-5,-83.0612697,39.9995866
,West Clermont Local,046359,Amelia Elementary School,000596,"5 E Main St Amelia, OH   45102-1943",K-5,-84.21523529999999,39.0302116
,Coshocton Opportunity School,000598,Coshocton Opportunity School,000598,"1205 Cambridge Rd Coshocton, OH   43812-2741",9-12,-81.8463422,40.2578132
,West Clermont Local,046359,Amelia High School,000604,"1351 Clough Pike Batavia, OH   45103-2503",9-12,-84.22981,39.0610523
,Summit Academy Transition High School-Cincinnati,000608,Summit Academy Transition High School-Cincinnati,000608,"750 Derby Ave Cincinnati, OH   45232-1816","7-12,UNG",-84.5183223,39.1715461
,Summit Academy Middle School - Lorain,000609,Summit Academy Middle School - Lorain,000609,"760 Tower Blvd Lorain, OH   44052-5223","5-9,UNG",-82.1766318,41.438197
,Summit Academy Middle School - Columbus,000610,Summit Academy Middle School - Columbus,000610,"1855 E Dublin Granville Rd Columbus, OH   43229-3516","4-9,UNG",-82.9690433,40.08633409999999
,West Clermont Local,046359,Amelia Middle School,000612,"1341 Clough Pike Batavia, OH   45103-2503",6-8,-84.2311008,39.0629722
,Heir Force Community School,000613,Heir Force Community School,000613,"PO Box 180 Lima, OH   45802-0180",K-8,-84.16659419999999,40.7111378
,Summit Academy Transition High School-Columbus,000614,Summit Academy Transition High School-Columbus,000614,"1850 Bostwick Rd Columbus, OH   43227-3301","8-12,UNG",-82.88975909999999,39.9364126
,Summit Academy Middle School - Warren,000616,Summit Academy Middle School - Warren,000616,"1150 Tod Avenue Warren, OH   44484","5-10,UNG",-80.8312706,41.2443395
,Federal Hocking Local,045914,Amesville Elementary School,000620,"PO Box 189 Amesville, OH   45711-0189",K-5,-81.9556956,39.4006285
,Summit Academy Transition High School Dayton,000621,Summit Academy Transition High School Dayton,000621,"1407 E 3rd St Dayton, OH   45403-1818","8-12,UNG",-84.1727252,39.76286169999999
,Summit Academy Middle School - Youngstown,000623,Summit Academy Middle School - Youngstown,000623,"810 Oak St Youngstown, OH   44506-1233","5-9,UNG",-80.634725,41.1011268
,Summit Academy Community School - Painesville,000629,Summit Academy Community School - Painesville,000629,"301 E Erie St Painesville, OH   44077-3913","1-9,UNG",-81.2435012,41.7297988
,Summit Academy Secondary School - Toledo,000633,Summit Academy Secondary School - Toledo,000633,"703 Phillips Ave Toledo, OH   43612-1332","7-12,UNG",-83.56060459999999,41.69082760000001
,Summit Academy Secondary School - Middletown,000634,Summit Academy Secondary School - Middletown,000634,"7 S Marshall Rd Middletown, OH   45044-5375","7-12,UNG",-84.3446136,39.511273
,Jackson Local,049858,Amherst Elementary School,000638,"8750 Jane St NW Massillon, OH   44646-1626",K-5,-81.5146386,40.8353782
,Rittman Exempted Village,045591,Rittman Academy,000640,"75 N Main St Rittman, OH   44270-1440",K-12,-81.782338,40.974765
,Canton Local,049833,The Five R'S Academy,000652,"4526 Ridge Ave SE Canton, OH   44707-1118","9-12,SN",-81.37141000000001,40.745583
,Deer Park Community City,043851,Amity Elementary School,000653,"4320 E Galbraith Rd Cincinnati, OH   45236-2618",4-6,-84.39342529999999,39.2084686
,Lockland Local,044230,Arlington Heights Academy,000663,"607 Carthage Ave Cincinnati, OH   45215-5464",9-12,-84.4541648,39.2179999
,Life Skills Center of Columbus Southeast,000664,Life Skills Center of Columbus Southeast,000664,"2400 S Hamilton Rd Columbus, OH   43232-4963","9-12,UNG",-82.87844700000001,39.9255334
,Lorain City,044263,Frank Jacinto Elementary,000676,"2515 Marshall Ave Lorain, OH   44052-4337",K-6,-82.1953237,41.4472435
,New Day Academy Boarding & Day School,000677,New Day Academy Boarding & Day School,000677,"8566 Barbara Dr Mentor, OH   44060-1917",K-12,-81.3326879,41.7123056
,Oakstone Community School,000679,Oakstone Community School,000679,"5747 Cleveland Ave Columbus, OH   43231-2831",K-12,-82.9516398,40.0873044
,Forest Hills Local,047340,Anderson High School,000687,"7560 Forest Rd Cincinnati, OH   45255-4307",9-12,-84.34749889999999,39.0693165
,Arcadia Local,047415,Arcadia Middle School,000699,"19033 State Route 12 Arcadia, OH   44804-9714",7-8,-83.5154853,41.1062851
,New City School,000700,New City School,000700,"1516 Salem Ave Dayton, OH   45406-4943",K-12,-84.21674329999999,39.7753571
,Avon Local,048116,Avon Heritage South Elementary School,000701,"35575 Detroit Rd Avon, OH   44011-1639",3-4,-82.0117848,41.4542039
,Pymatuning Valley Local,045880,Pymatuning Valley Primary Elementary School,000711,"PO Box 1180 Andover, OH   44003-1180",K-4,-80.572296,41.6067211
,Zenith Academy,000725,Zenith Academy,000725,"8210 Havens Rd Blacklick, OH   43004-8630",K-9,-82.77602569999999,40.0283856
,Cleveland Municipal,043786,Andrew J Rickoff,000729,"3500 E 147th St Cleveland, OH   44120-4834","P,K-8",-81.5793387,41.4629998
,Phoenix Village Academy Primary 2,000736,Phoenix Village Academy Primary 2,000736,"3120 Euclid Ave Cleveland, OH   44115-2508",K-12,-81.66593280000001,41.5025216
,Massillon City,044354,Massillon Middle School,000737,"250 29th St NW Massillon, OH   44647-5910",5-8,-81.5624709,40.7875258
,Pschtecin Public School,000743,Pschtecin Public School,000743,"985 Mediterranean Ave Columbus, OH   43229-2541",8-12,-82.9907496,40.0903161
,Anna Local,049759,Anna Elementary School,000745,"PO Box 169 Anna, OH   45302-0169",K-5,-84.1727231,40.3944932
,Anna Local,049759,Anna High School,000752,"PO Box 169 Anna, OH   45302-0169",6-12,-84.1727231,40.3944932
,Ansonia Local,046623,Ansonia Elementary School,000760,"PO Box 279 Ansonia, OH   45303-0279",K-6,-84.6355484,40.2073876
,"Maritime Academy of Toledo, The",000770,"Maritime Academy of Toledo, The",000770,"1000 Monroe St Toledo, OH   43604-5953","5-12,SN",-83.5431675,41.6521349
,Educational Academy at Linden,000777,Educational Academy at Linden,000777,"1132 Windsor Ave Columbus, OH   43211-2836",K-12,-82.97645659999999,39.99747730000001
,Ansonia Local,046623,Ansonia High School,000778,"PO Box 279 Ansonia, OH   45303-0279",9-12,-84.6355484,40.2073876
,Midnimo Cross Cultural Community School,000780,Midnimo Cross Cultural Community School,000780,"1465 Oakland Park Ave Columbus, OH   43224-3509",K-12,-82.9737502,40.0314475
,Academy of Columbus,000784,Academy of Columbus,000784,"4656 Heaton Rd Columbus, OH   43229-6612",K-8,-82.96624390000001,40.06300359999999
,Defiance City,043869,Anthony Wayne Elementary School,000786,"1745 S Clinton St Defiance, OH   43512-3219",K-4,-84.3907938,41.2602415
,Franklin City,044008,Anthony Wayne Elementary School,000802,"16 Farm Ave Franklin, OH   45005-2721",1-6,-84.31208529999999,39.55413739999999
,Horizon Science Academy-Cincinnati,000804,Horizon Science Academy-Cincinnati,000804,"1055 Laidlaw Ave Cincinnati, OH   45237-5005",K-12,-84.4809882,39.1774771
,Horizon Science Academy-Dayton,000808,Horizon Science Academy-Dayton,000808,"545 Odlin Ave Dayton, OH   45405-2743",K-12,-84.22013270000001,39.7979932
,Anthony Wayne Local,048207,Anthony Wayne High School,000810,"5967 Finzel Rd Whitehouse, OH   43571-9661",9-12,-83.7791617,41.533359
